origem_id,destino_id,tipo
211,498,Participantar
79,418,Participantar
231,461,Participantar
249,408,Participantar
51,406,Participantar
229,452,Participantar
104,498,Participantar
154,445,Participantar
69,481,Participantar
223,460,Participantar
250,454,Participantar
159,446,Participantar
183,479,Participantar
157,439,Participantar
231,480,Participantar
15,407,Participantar
183,454,Participantar
102,466,Participantar
150,455,Participantar
26,402,Participantar
191,405,Participantar
94,402,Participantar
457,143,Participantar
496,177,Participantar
453,248,Participantar
444,177,Participantar
462,146,Participantar
438,184,Participantar
428,345,Organiza
481,399,Organiza
474,271,Organiza
497,325,Organiza
405,345,Organiza
440,305,Organiza
404,282,Organiza
468,288,Organiza
438,327,Organiza
452,356,Organiza
470,351,Organiza
480,296,Organiza
434,373,Organiza
440,313,Organiza
454,343,Organiza
469,317,Organiza
496,349,Organiza
465,351,Organiza
411,271,Organiza
435,336,Organiza
470,266,Organiza
468,302,Organiza
457,347,Organiza
430,299,Organiza
476,383,Organiza
492,292,Organiza
445,265,Organiza
409,364,Organiza
471,399,Organiza
495,363,Organiza
413,380,Organiza
466,385,Organiza
449,297,Organiza
494,377,Organiza
428,290,Organiza
429,355,Organiza
450,393,Organiza
440,265,Organiza
418,376,Organiza
442,264,Organiza
448,369,Organiza
494,388,Organiza
493,295,Organiza
498,399,Organiza
460,264,Organiza
466,377,Organiza
420,301,Organiza
477,320,Organiza
461,334,Organiza
482,398,Organiza
